VisitId,UserId,Date,Time,Duration,CarerCount
2806455,6819,2017-10-13,11:30:00,1800,1
2806454,6819,2017-10-06,10:00:00,1159,1
2806448,6819,2017-10-11,11:30:00,1800,1
2806450,6819,2017-10-02,10:00:00,1159,1
2806447,6819,2017-10-04,10:00:00,1159,1
2806451,6819,2017-10-09,10:00:00,1159,1
2734613,4300,2017-10-13,09:00:00,865,1
2761600,4300,2017-10-07,09:00:00,832,1
2761604,4300,2017-10-08,09:00:00,856,1
2734581,4300,2017-10-03,09:00:00,900,1
2734576,4300,2017-10-02,09:00:00,899,1
2761601,4300,2017-10-14,09:00:00,832,1
2734577,4300,2017-10-09,09:00:00,899,1
2734586,4300,2017-10-04,09:00:00,887,1
2734612,4300,2017-10-06,09:00:00,865,1
2734600,4300,2017-10-12,09:00:00,898,1
2734599,4300,2017-10-05,09:00:00,898,1
2734582,4300,2017-10-10,09:00:00,900,1
2761603,4300,2017-10-01,09:00:00,858,1
2734587,4300,2017-10-11,09:00:00,887,1
2715232,5068,2017-10-13,12:00:00,592,2
2715233,5068,2017-10-13,17:00:00,719,2
2715234,5068,2017-10-13,20:30:00,686,2
2715231,5068,2017-10-13,09:45:00,1334,2
2715643,5068,2017-10-07,09:45:00,1394,2
2626115,5068,2017-10-07,17:30:00,701,2
2744771,5068,2017-10-07,13:30:00,616,2
2626116,5068,2017-10-07,20:30:00,686,2
2715648,5068,2017-10-08,09:45:00,1277,2
2635708,5068,2017-10-08,17:30:00,739,2
2760343,5068,2017-10-08,13:30:00,616,2
2635709,5068,2017-10-08,20:30:00,685,2
2577587,5068,2017-10-03,12:00:00,587,2
2577588,5068,2017-10-03,17:00:00,680,2
2577589,5068,2017-10-03,20:30:00,686,2
2632770,5068,2017-10-03,09:45:00,1286,2
2562246,5068,2017-10-02,12:00:00,586,2
2562247,5068,2017-10-02,17:00:00,723,2
2562248,5068,2017-10-02,20:30:00,685,2
2632754,5068,2017-10-02,09:45:00,1192,2
2729812,5068,2017-10-14,09:45:00,1394,1
2729813,5068,2017-10-14,17:30:00,701,1
2744772,5068,2017-10-14,13:30:00,616,1
2729814,5068,2017-10-14,20:30:00,686,1
2650668,5068,2017-10-09,12:00:00,590,2
2650669,5068,2017-10-09,17:00:00,726,2
2650670,5068,2017-10-09,20:30:00,685,2
2650667,5068,2017-10-09,09:45:00,1192,2
2592370,5068,2017-10-04,12:00:00,589,2
2715922,5068,2017-10-04,17:00:00,673,2
2715914,5068,2017-10-04,20:30:00,685,2
2632869,5068,2017-10-04,09:45:00,1328,2
2612595,5068,2017-10-06,12:00:00,592,2
2612596,5068,2017-10-06,17:00:00,719,2
2612597,5068,2017-10-06,20:30:00,686,2
2632898,5068,2017-10-06,09:45:00,1334,2
2694462,5068,2017-10-12,12:00:00,584,2
2732907,5068,2017-10-12,17:00:00,721,2
2703664,5068,2017-10-12,20:30:00,685,2
2694461,5068,2017-10-12,09:45:00,1294,2
